term;tag;value;pstv;neut;ngtv;dunno;distortion
первокурсница;NEUT;0.374;0.3627;0.5196;0.0882;0.0294;0.1097
первомайский;NEUT;0.4677;0.3846;0.4231;0.0865;0.1058;0.106
первоначальный;NEUT;0.35;0.34;0.52;0.06;0.08;0.0706
первооткрыватель;PSTV;0.8628;0.6436;0.2376;0.0297;0.0891;0.0311
первоочередной;NEUT;0.35;0.3178;0.486;0.0374;0.1589;0.0418
первоочерёдность;NEUT;0.458;0.38;0.43;0.03;0.16;0.0324
первопроходец;PSTV;0.7131;0.58;0.32;0.04;0.06;0.0428
первостатейный;NEUT;0.5089;0.3585;0.3491;0.0189;0.2736;0.0199
первостепенный;NEUT;0.4211;0.35;0.44;0.05;0.16;0.0571
переадресация;NEUT;0.0;0.0769;0.8462;0.0;0.0769;0.0
переадресовать;NEUT;0.0;0.1333;0.7667;0.0667;0.0333;0.1
переадресовывать;NEUT;0.0;0.1628;0.7209;0.0698;0.0465;0.0997
переаттестация;NEUT;-0.0176;0.2277;0.3861;0.2376;0.1485;0.446
перебарщивать;NGTV;-0.9231;0.04;0.2;0.64;0.12;0.0425
перебарывать;NEUT;0.3843;0.3613;0.3782;0.1345;0.1261;0.1845
перебегать;NEUT;-0.1;0.0357;0.6429;0.2143;0.1071;0.0417
перебежать;NEUT;0.0;0.069;0.6897;0.1724;0.069;0.0966
перебеситься;NGTV;-0.4424;0.25;0.17;0.49;0.09;0.3776
перебивать;NGTV;-0.9167;0.0313;0.2188;0.6875;0.0625;0.0327
перебиваться;NGTV;-0.9194;0.0;0.2069;0.6552;0.1379;0.0
перебинтовать;NEUT;0.5227;0.46;0.43;0.04;0.07;0.0435
перебинтовывать;NEUT;0.4851;0.44;0.46;0.06;0.04;0.0682
перебирание;NEUT;0.0;0.125;0.625;0.0625;0.1875;0.0938
перебирать;NEUT;0.0357;0.1923;0.6923;0.0385;0.0769;0.0462
перебираться;NEUT;0.1226;0.2178;0.6139;0.0594;0.1089;0.0756
перебить;NGTV;-0.9444;0.0769;0.1923;0.6538;0.0769;0.086
перебиться;NGTV;-0.6468;0.08;0.31;0.47;0.14;0.0936
перебой;NGTV;-0.9;0.0606;0.1818;0.5455;0.2121;0.0673
перебойный;NGTV;-0.3744;0.1132;0.2925;0.2925;0.3019;0.157
переболеть;NEUT;0.1653;0.3762;0.2277;0.2772;0.1188;0.4815
перебор;NGTV;-0.913;0.025;0.225;0.7;0.05;0.0259
перебороть;PSTV;0.9375;0.7143;0.2143;0.0;0.0714;0.0
переборщить;NGTV;-0.913;0.0476;0.2143;0.6667;0.0714;0.051
перебранка;NGTV;-1.0;0.0769;0.0769;0.5385;0.3077;0.0879
перебрасывать;NEUT;0.0122;0.1628;0.6279;0.0698;0.1395;0.0997
перебрасываться;NEUT;0.0;0.1188;0.6139;0.1386;0.1287;0.2207
перебрать;NEUT;-0.3363;0.13;0.46;0.32;0.09;0.1828
перебраться;NEUT;0.0357;0.1786;0.6429;0.0714;0.1071;0.1
перебросить;NEUT;0.0455;0.1538;0.5385;0.0385;0.2692;0.0481
перебудить;NEUT;-0.2591;0.1698;0.3679;0.3208;0.1415;0.2597
переваливать;NEUT;-0.0347;0.1304;0.5652;0.1565;0.1478;0.2391
переваливаться;NEUT;-0.1;0.0698;0.5581;0.186;0.186;0.0959
перевалить;NEUT;-0.0223;0.1471;0.5392;0.1569;0.1569;0.2849
перевалиться;NEUT;0.0;0.0;0.7037;0.1481;0.1481;0.0
переваривание;NEUT;0.4052;0.35;0.46;0.08;0.11;0.0983
переваривать;NEUT;0.2311;0.2871;0.604;0.0693;0.0396;0.086
перевариваться;NEUT;0.1765;0.23;0.56;0.11;0.1;0.1626
переварить;NEUT;0.1122;0.2;0.58;0.13;0.09;0.2145
перевариться;NEUT;0.0;0.1591;0.6364;0.0682;0.1364;0.0974
перевезти;NEUT;0.0;0.1212;0.7879;0.0606;0.0303;0.0909
перевернуть;NEUT;0.0275;0.16;0.59;0.14;0.11;0.2625
перевернуться;NEUT;0.0;0.1304;0.7609;0.0652;0.0435;0.0978
перевес;NEUT;-0.0563;0.1881;0.4851;0.2178;0.1089;0.3506
перевесить;NEUT;0.067;0.17;0.55;0.14;0.14;0.2553
перевеситься;NEUT;-0.2458;0.12;0.39;0.23;0.26;0.1826
перевести;NEUT;0.2304;0.2718;0.5728;0.0194;0.1359;0.0208
перевестись;NEUT;0.0;0.1262;0.6311;0.1165;0.1262;0.224
перевешать;NEUT;-0.0235;0.1386;0.5347;0.1485;0.1782;0.268
перевешивать;NEUT;0.0;0.0588;0.7059;0.0882;0.1471;0.098
перевешиваться;NEUT;-0.1319;0.1386;0.4554;0.198;0.2079;0.2356
перевод;NEUT;0.0;0.1538;0.6538;0.0385;0.1538;0.0481
переводить;NEUT;0.1;0.2195;0.6585;0.0488;0.0732;0.0596
переводиться;NEUT;0.1053;0.217;0.6415;0.0566;0.0849;0.0714
переводчик;NEUT;0.371;0.36;0.52;0.02;0.1;0.0211
переводчица;NEUT;0.4767;0.42;0.45;0.04;0.09;0.0438
перевоз;NEUT;0.1271;0.2189;0.6095;0.0473;0.1243;0.0576
перевозить;NEUT;0.0;0.1538;0.7692;0.0;0.0769;0.0
перевозиться;NEUT;0.1;0.1667;0.5;0.0667;0.2667;0.0933
перевозка;NEUT;0.0;0.16;0.64;0.0;0.2;0.0
перевозочный;NEUT;0.0357;0.1852;0.6667;0.037;0.1111;0.0444
перевозчик;NEUT;0.0455;0.2069;0.7241;0.0;0.069;0.0
переволновать;NGTV;-0.828;0.0938;0.2188;0.5391;0.1484;0.1101
переволноваться;NGTV;-0.87;0.0693;0.2079;0.5743;0.1485;0.0777
перевооружить;NEUT;-0.0858;0.2115;0.3558;0.2596;0.1731;0.3839
перевоплощаться;NEUT;0.3276;0.3019;0.4906;0.066;0.1415;0.0805
перевоплощение;NEUT;0.425;0.3663;0.4554;0.0594;0.1188;0.069
переворачивание;NEUT;0.0;0.1379;0.7931;0.0345;0.0345;0.0431
переворачивать;NEUT;0.0357;0.2;0.72;0.04;0.04;0.048
переворачиваться;NEUT;0.0;0.0667;0.7;0.1333;0.1;0.1
переворот;NEUT;-0.1013;0.1597;0.5126;0.2101;0.1176;0.281
перевоспитание;NEUT;0.4386;0.44;0.27;0.19;0.1;0.272
перевоспитать;PSTV;0.7364;0.54;0.28;0.1;0.08;0.1185
перевоспитаться;PSTV;0.9;0.75;0.25;0.0;0.0;0.0
перевоспитывать;NEUT;0.2196;0.34;0.39;0.2;0.07;0.3176
перевоспитываться;PSTV;0.7564;0.5842;0.2871;0.0495;0.0792;0.0537
перевыполнение;NEUT;0.48;0.4423;0.3365;0.1538;0.0673;0.2074
перевыполнить;PSTV;0.75;0.5294;0.2647;0.0784;0.1275;0.0901
перевыполнять;PSTV;0.575;0.46;0.37;0.1;0.07;0.1217
перевязать;NEUT;0.2895;0.3;0.54;0.07;0.09;0.0863
перевязаться;NEUT;0.1564;0.2;0.47;0.13;0.2;0.2145
перевязка;NEUT;0.2817;0.2788;0.3942;0.1346;0.1923;0.1996
перевязывание;NEUT;0.229;0.2476;0.5238;0.1048;0.1238;0.1491
перевязывать;NEUT;0.3898;0.35;0.48;0.08;0.09;0.0983
перегар;NGTV;-1.0;0.08;0.04;0.76;0.12;0.0884
перегарный;NGTV;-0.9;0.0;0.2286;0.6857;0.0857;0.0
перегибать;NGTV;-0.9;0.0333;0.2167;0.65;0.1;0.035
перегибаться;NEUT;0.0;0.0714;0.7857;0.0357;0.1071;0.0536
переглаживать;NGTV;-0.4107;0.0891;0.4356;0.3366;0.1386;0.1127
переглядывание;NEUT;0.0;0.04;0.6;0.12;0.24;0.0533
переглядываться;NEUT;0.2778;0.2772;0.5149;0.0792;0.1287;0.1018
переглянуться;NEUT;0.1286;0.2178;0.604;0.0891;0.0891;0.1256
перегнать;NEUT;0.2581;0.28;0.49;0.14;0.09;0.21
перегнуть;NGTV;-0.9;0.0833;0.1944;0.5833;0.1389;0.0952
перегнуться;NEUT;-0.1;0.04;0.6;0.2;0.16;0.048
переговариваться;NEUT;0.0762;0.21;0.58;0.17;0.04;0.3076
переговорить;NEUT;0.2358;0.2574;0.5347;0.0693;0.1386;0.088
переговорка;NEUT;-0.0248;0.14;0.45;0.15;0.26;0.2707
переговорный;NEUT;0.3333;0.3;0.48;0.03;0.19;0.033
переговорщик;NEUT;0.3906;0.38;0.52;0.04;0.06;0.0442
переговоры;NEUT;0.4074;0.405;0.5289;0.0083;0.0579;0.0084
перегонять;NEUT;0.0;0.0345;0.7586;0.1034;0.1034;0.046
перегоняться;NEUT;0.0219;0.1455;0.5364;0.1364;0.1818;0.2642
перегораживать;NGTV;-0.4535;0.0777;0.4563;0.3981;0.068;0.0928
перегораживаться;NEUT;0.0423;0.18;0.53;0.16;0.13;0.3022
перегорание;NGTV;-0.9828;0.0385;0.1923;0.7308;0.0385;0.0405
перегорать;NGTV;-0.9;0.037;0.2222;0.6667;0.0741;0.0391
перегореть;NGTV;-0.8182;0.05;0.25;0.6;0.1;0.0542
перегородить;NEUT;-0.2759;0.09;0.56;0.3;0.05;0.117
перегородка;NEUT;0.1122;0.2;0.58;0.08;0.14;0.112
перегревание;NGTV;-0.8394;0.11;0.24;0.61;0.04;0.1298
перегревать;NGTV;-0.5841;0.17;0.27;0.5;0.06;0.2278
перегреваться;NGTV;-1.0;0.0;0.1481;0.7407;0.1111;0.0
перегретый;NGTV;-0.9314;0.1166;0.1779;0.5828;0.1227;0.1399
перегреть;NGTV;-0.9444;0.04;0.2;0.68;0.08;0.0424
перегреться;NGTV;-0.9583;0.087;0.1884;0.6667;0.058;0.0983
перегружать;NGTV;-0.629;0.0962;0.3462;0.5;0.0577;0.1146
перегружаться;NGTV;-0.5477;0.1553;0.3107;0.4757;0.0583;0.2061
перегруженность;NGTV;-0.96;0.0833;0.1875;0.6667;0.0625;0.0938
перегруз;NGTV;-0.9;0.0652;0.2174;0.6522;0.0652;0.0717
перегрузить;NGTV;-0.3651;0.1386;0.4059;0.3564;0.099;0.1925
перегрузка;NGTV;-0.446;0.1667;0.3333;0.4386;0.0614;0.23
перегруппироваться;NEUT;0.2895;0.3;0.54;0.04;0.12;0.0453
перегрызать;NGTV;-0.4808;0.09;0.36;0.34;0.21;0.1138
перегрызть;NGTV;-0.4925;0.0392;0.4412;0.4314;0.0882;0.0428
перегрызться;NGTV;-1.0;0.037;0.037;0.8519;0.0741;0.0386
передавать;NEUT;0.1216;0.217;0.6132;0.0755;0.0943;0.1017
передаваться;NEUT;0.0;0.0385;0.6923;0.0769;0.1923;0.0577
передавить;NGTV;-0.7857;0.1078;0.2451;0.5392;0.1078;0.1294
передарить;NGTV;-0.4351;0.1188;0.3861;0.3762;0.1188;0.1563
передать;NEUT;0.0;0.0769;0.8077;0.0;0.1154;0.0
передаться;NEUT;0.0;0.04;0.72;0.04;0.2;0.08
передача;NEUT;0.3607;0.35;0.52;0.03;0.1;0.0326
передвигать;NEUT;0.0172;0.2;0.76;0.0;0.04;0.0
передвигаться;NEUT;0.2686;0.3039;0.5784;0.049;0.0686;0.0569
передвижение;NEUT;0.325;0.3204;0.5243;0.0485;0.1068;0.0559
передвижной;NEUT;0.0455;0.2143;0.75;0.0;0.0357;0.0
передвинуть;NEUT;0.0;0.1481;0.7037;0.037;0.1111;0.0463
передвинуться;NEUT;0.0806;0.2069;0.6552;0.069;0.069;0.092
переделать;NEUT;0.2232;0.27;0.58;0.1;0.05;0.137
переделка;NEUT;0.1681;0.2941;0.3725;0.1961;0.1373;0.3268
переделывание;NEUT;0.0;0.0769;0.8462;0.0;0.0769;0.0
переделывать;NEUT;-0.1223;0.1881;0.4851;0.2574;0.0693;0.3256
передержать;NGTV;-0.6102;0.06;0.35;0.48;0.11;0.0675
передислоцировать;NEUT;0.0;0.12;0.6;0.04;0.24;0.0533
передний;NEUT;0.0934;0.2093;0.6395;0.0465;0.1047;0.0568
передничек;NEUT;0.1;0.1852;0.5556;0.037;0.2222;0.0444
передовик;PSTV;0.7;0.4118;0.2353;0.0686;0.2843;0.0801
передохнуть;PSTV;0.622;0.4679;0.3303;0.0917;0.1101;0.1097
передразнивание;NGTV;-1.0;0.13;0.16;0.65;0.06;0.156
передразнивать;NGTV;-1.0;0.08;0.16;0.72;0.04;0.0889
передразнить;NGTV;-1.0;0.0;0.037;0.8889;0.0741;0.0
передраться;NGTV;-1.0;0.0;0.1111;0.7778;0.1111;0.0
передружиться;PSTV;0.6504;0.4757;0.3107;0.0777;0.1359;0.0904
передряга;NGTV;-1.0;0.037;0.0741;0.7778;0.1111;0.0388
передумать;NEUT;0.0;0.0667;0.7111;0.1333;0.0889;0.1
передумывать;NEUT;0.0;0.13;0.63;0.14;0.1;0.2507
передушить;NGTV;-1.0;0.0323;0.129;0.7097;0.129;0.0337
передых;PSTV;0.7035;0.4907;0.2778;0.0926;0.1389;0.1101
передыхать;NEUT;0.3102;0.3663;0.3366;0.1782;0.1188;0.2649
передышка;NEUT;0.5282;0.463;0.4259;0.0556;0.0556;0.0622
передёргивать;NGTV;-0.7571;0.099;0.2574;0.5248;0.1188;0.1177
передёргиваться;NGTV;-0.7018;0.07;0.29;0.51;0.13;0.0796
переедание;NGTV;-1.0;0.0;0.08;0.88;0.04;0.0
переедать;NGTV;-0.9;0.0278;0.2222;0.6667;0.0833;0.0289
переезд;NEUT;0.0;0.1111;0.7778;0.037;0.0741;0.0494
переезжать;NEUT;0.1857;0.2376;0.5644;0.1089;0.0891;0.1588
переесть;NGTV;-1.0;0.037;0.1481;0.7037;0.1111;0.039
переехать;NEUT;0.0;0.1724;0.7586;0.069;0.0;0.0966
пережарить;NGTV;-0.9;0.0769;0.2308;0.6923;0.0;0.0855
переждать;NEUT;0.1;0.2143;0.6429;0.0714;0.0714;0.0952
пережевать;NEUT;-0.0183;0.2079;0.4653;0.2178;0.1089;0.4064
пережениться;NGTV;-0.4576;0.1092;0.3025;0.3361;0.2521;0.1447
переживание;NGTV;-0.4425;0.13;0.34;0.38;0.15;0.1745
переживать;NGTV;-0.4348;0.17;0.3;0.42;0.11;0.2388
пережитое;NEUT;0.1616;0.22;0.54;0.14;0.1;0.2291
пережиточный;NEUT;-0.2857;0.1495;0.2991;0.2991;0.2523;0.2243
пережить;PSTV;0.5546;0.434;0.3302;0.1226;0.1132;0.1573
пережрать;NGTV;-0.9545;0.0;0.2143;0.75;0.0357;0.0
пережёвывание;NEUT;0.1905;0.2368;0.5175;0.1404;0.1053;0.2235
пережёвывать;NEUT;0.0;0.1379;0.7241;0.0;0.1379;0.0
перезагрузка;NEUT;0.3609;0.33;0.49;0.08;0.1;0.0994
перезапись;NEUT;0.0;0.0645;0.7097;0.129;0.0968;0.0968
перезарядиться;PSTV;0.725;0.5631;0.301;0.0583;0.0777;0.0643
перезарядка;NEUT;0.4677;0.4;0.44;0.07;0.09;0.0822
перезаряжать;NEUT;0.2568;0.2745;0.5392;0.1078;0.0784;0.1502
перезаряжаться;NEUT;0.413;0.3465;0.4455;0.1089;0.099;0.1431
перезванивать;NEUT;0.1;0.2245;0.6735;0.0204;0.0816;0.0223
перезваниваться;NEUT;0.0806;0.2143;0.6786;0.0714;0.0357;0.0952
перезвон;NEUT;0.0;0.1333;0.7667;0.0;0.1;0.0
перезвонить;NEUT;0.1;0.2;0.6;0.04;0.16;0.048
перезимовать;NEUT;0.0357;0.2;0.72;0.0;0.08;0.0
перезнакомить;NEUT;0.542;0.4257;0.3762;0.0198;0.1782;0.0207
перезнакомиться;NEUT;0.5164;0.4158;0.396;0.0693;0.1188;0.0809
перезрелый;NGTV;-0.913;0.0682;0.2045;0.6364;0.0909;0.0755
перезреть;NGTV;-0.4865;0.19;0.25;0.46;0.1;0.2685
переиграть;NEUT;-0.0369;0.1961;0.4804;0.2157;0.1078;0.3743
переигрывать;NEUT;-0.2521;0.1683;0.4158;0.3168;0.099;0.2577
переизбирать;NEUT;0.0357;0.1786;0.6429;0.0714;0.1071;0.1
переизбрать;NEUT;0.051;0.1782;0.6139;0.099;0.1089;0.154
переизбыток;NGTV;-0.5973;0.1;0.34;0.45;0.11;0.1222
переиздавать;NEUT;0.0;0.0;0.72;0.12;0.16;0.0
переиздание;NEUT;0.0;0.08;0.72;0.04;0.16;0.06
переиздать;NEUT;0.2788;0.2673;0.495;0.099;0.1386;0.1357
переименование;NEUT;0.0;0.0667;0.7333;0.1333;0.0667;0.1
переименовать;NEUT;0.0;0.0769;0.8462;0.0;0.0769;0.0
переименовывать;NEUT;0.0;0.0385;0.8846;0.0385;0.0385;0.0769
переиначивать;NEUT;-0.1991;0.1619;0.3905;0.2667;0.181;0.2602
перейти;NEUT;0.1;0.2178;0.6535;0.0495;0.0792;0.0608
перекапывать;NEUT;0.2143;0.2451;0.5392;0.0882;0.1275;0.12
перекармливать;NGTV;-1.0;0.0345;0.1379;0.7586;0.069;0.0361
перекат;NEUT;0.0;0.12;0.56;0.04;0.28;0.0533
перекатить;NEUT;0.0192;0.18;0.68;0.09;0.05;0.135
перекатиться;NEUT;0.0;0.1308;0.6355;0.1028;0.1308;0.1836
перекатывание;NEUT;0.0;0.04;0.68;0.04;0.24;0.08
перекатывать;NEUT;0.0526;0.2;0.6857;0.0714;0.0429;0.0969
перекатываться;NEUT;0.0;0.08;0.76;0.04;0.12;0.06
перекачать;NEUT;0.0222;0.1584;0.5545;0.1485;0.1386;0.2877
перекачивание;NEUT;0.0;0.1176;0.6275;0.098;0.1569;0.1797
перекачивать;NEUT;0.006;0.1386;0.5446;0.1089;0.2079;0.1945
перекачиваться;NEUT;-0.1;0.037;0.5556;0.1852;0.2222;0.0444
перекашивать;NGTV;-0.4019;0.11;0.37;0.32;0.2;0.1478
перекашиваться;NGTV;-0.6733;0.1188;0.2673;0.4554;0.1584;0.1498
переквалифицироваться;PSTV;0.6161;0.451;0.3235;0.049;0.1765;0.0543
перекидать;NEUT;0.0806;0.2;0.6333;0.0667;0.1;0.0889
перекидывание;NEUT;0.0;0.08;0.72;0.04;0.16;0.06
перекидывать;NEUT;0.0;0.1068;0.6019;0.1359;0.1553;0.1907
перекидываться;NEUT;0.0;0.1359;0.6117;0.1262;0.1262;0.2434
перекинуть;NEUT;0.0;0.1538;0.6538;0.0385;0.1538;0.0481
перекинуться;NEUT;0.0;0.12;0.62;0.09;0.17;0.1575
перекипеть;NEUT;-0.2188;0.2095;0.3143;0.3429;0.1333;0.3376
перекись;NEUT;0.3131;0.29;0.49;0.08;0.14;0.1021
перекладина;NEUT;0.0;0.1852;0.7778;0.0;0.037;0.0
перекладывание;NEUT;0.0;0.08;0.76;0.04;0.12;0.06
перекладывать;NEUT;0.0172;0.1724;0.6552;0.069;0.1034;0.0966
переклеивать;NEUT;0.0;0.1333;0.7667;0.0667;0.0333;0.1
переклеить;NEUT;0.0217;0.16;0.6;0.11;0.13;0.1856
переклинить;NGTV;-0.7432;0.07;0.28;0.55;0.1;0.0789
перекличка;NEUT;0.0;0.12;0.84;0.0;0.04;0.0
переключатель;NEUT;0.0172;0.2;0.76;0.0;0.04;0.0
переключать;NEUT;0.0172;0.1667;0.6333;0.0667;0.1333;0.0933
переключаться;NEUT;0.0;0.12;0.8;0.0;0.08;0.0
переключение;NEUT;0.1;0.2;0.6;0.04;0.16;0.048
переключить;NEUT;0.0172;0.1923;0.7308;0.0385;0.0385;0.0462
переключиться;NEUT;0.2186;0.2532;0.5506;0.0443;0.1519;0.0521
переколоть;NEUT;0.0;0.0385;0.8462;0.0385;0.0769;0.0769
перекопать;NEUT;0.1186;0.1961;0.5588;0.1373;0.1078;0.2333
перекормить;NGTV;-1.0;0.0769;0.0385;0.8462;0.0385;0.0839
перекорёжить;NGTV;-0.9725;0.1068;0.1553;0.5728;0.165;0.1267
перекос;NGTV;-0.6743;0.06;0.3;0.49;0.15;0.0673
перекосить;NGTV;-0.575;0.0495;0.3663;0.4554;0.1287;0.0549
перекоситься;NGTV;-0.8762;0.08;0.21;0.59;0.12;0.0908
перекочевать;NEUT;0.0;0.0952;0.7024;0.0595;0.1429;0.0967
перекрасить;NEUT;0.2156;0.26;0.57;0.1;0.07;0.1385
перекраситься;NEUT;0.0893;0.22;0.68;0.06;0.04;0.0764
перекрашивание;NEUT;0.0;0.0769;0.7692;0.0385;0.1154;0.0577
перекрашивать;NEUT;0.0;0.16;0.8;0.04;0.0;0.05
перекрашиваться;NEUT;0.1471;0.2095;0.5524;0.1238;0.1143;0.197
перекрестить;NEUT;0.3952;0.3558;0.4808;0.0769;0.0865;0.0936
перекреститься;NEUT;0.4685;0.3942;0.4327;0.0962;0.0769;0.1196
перекрещивать;NEUT;0.0806;0.1935;0.6129;0.0323;0.1613;0.0376
перекрещиваться;NEUT;0.2088;0.2459;0.5;0.1393;0.1148;0.2183
перекрикивать;NGTV;-0.9118;0.1;0.2;0.62;0.08;0.1161
перекричать;NGTV;-0.5424;0.1188;0.3564;0.4356;0.0891;0.1512
перекрутить;NEUT;-0.1458;0.1386;0.5149;0.2079;0.1386;0.231
перекрутиться;NEUT;0.0368;0.17;0.61;0.08;0.14;0.1176
перекрывать;NEUT;-0.2436;0.0971;0.5728;0.2816;0.0485;0.1306
перекрыть;NEUT;-0.1667;0.08;0.6;0.24;0.08;0.1067
перекрёсток;NEUT;0.0;0.1333;0.5667;0.0667;0.2333;0.1
перекувырнуться;NEUT;0.1;0.1923;0.5769;0.0385;0.1923;0.0462
перекупать;NEUT;0.0423;0.18;0.53;0.16;0.13;0.3022
перекур;NEUT;0.0806;0.2222;0.7037;0.0741;0.0;0.0988
перекуривать;NGTV;-0.5656;0.09;0.38;0.46;0.07;0.1076
перекурить;NGTV;-0.4409;0.1373;0.3824;0.4118;0.0686;0.183
перекус;PSTV;0.6716;0.5357;0.3304;0.0714;0.0625;0.081
перекусать;NGTV;-0.5;0.1121;0.3178;0.3738;0.1963;0.1458
перекусить;NEUT;0.5288;0.4757;0.4369;0.0388;0.0485;0.042
перекусывать;NEUT;0.3952;0.3592;0.4854;0.1068;0.0485;0.1385
перелазить;NEUT;0.0;0.037;0.963;0.0;0.0;0.0
переламывать;NGTV;-0.4744;0.0792;0.4059;0.3762;0.1386;0.0959
перелезать;NEUT;0.0;0.0385;0.6154;0.1154;0.2308;0.0513
перелезть;NEUT;0.0;0.1556;0.6222;0.0667;0.1556;0.0952
перелетать;NEUT;0.1903;0.26;0.61;0.02;0.11;0.0215
перелететь;NEUT;0.3017;0.3069;0.5347;0.0495;0.1089;0.0575
переливание;NEUT;0.1809;0.252;0.6063;0.0787;0.063;0.1033
переливать;NEUT;0.0;0.1538;0.7308;0.0;0.1154;0.0
переливаться;NEUT;0.3108;0.2913;0.4951;0.0583;0.1553;0.0699
перелистать;NEUT;0.0172;0.1852;0.7037;0.037;0.0741;0.0444
перелистывание;NEUT;0.0;0.08;0.84;0.04;0.04;0.06
перелистывать;NEUT;0.0172;0.1786;0.6786;0.0357;0.1071;0.0429
перелить;NEUT;0.0;0.1176;0.7059;0.0588;0.1176;0.0882
перелиться;NEUT;0.0;0.1132;0.5566;0.1226;0.2075;0.2177
переловить;NEUT;0.0543;0.1635;0.5577;0.1346;0.1442;0.2455
переложить;NEUT;0.0;0.1724;0.7586;0.069;0.0;0.0966
перелом;NGTV;-0.7821;0.0849;0.2642;0.5755;0.0755;0.0974
переломать;NGTV;-1.0;0.0857;0.1714;0.7429;0.0;0.0956
переломаться;NGTV;-0.75;0.06;0.26;0.52;0.16;0.0669
переломить;NEUT;-0.1339;0.198;0.4653;0.2772;0.0594;0.3395
переломиться;NGTV;-0.4528;0.16;0.27;0.4;0.17;0.224
переломный;NEUT;-0.0566;0.1698;0.5283;0.1981;0.1038;0.3154
перелопатить;NEUT;0.2549;0.2673;0.396;0.1386;0.198;0.2105
перелопачивать;NEUT;-0.243;0.1485;0.4158;0.2772;0.1584;0.2281
перелёт;NEUT;0.3333;0.3333;0.5333;0.0381;0.0952;0.0424
перемазать;NEUT;-0.3206;0.1356;0.4237;0.3136;0.1271;0.1942
перемазаться;NGTV;-0.6351;0.08;0.32;0.47;0.13;0.0936
перемазывать;NEUT;-0.3363;0.1182;0.4182;0.2909;0.1727;0.1662
перемалывать;NEUT;-0.1632;0.11;0.53;0.21;0.15;0.1676
переманивание;NGTV;-0.5256;0.0891;0.3762;0.4059;0.1287;0.1087
переманивать;NGTV;-0.5847;0.0571;0.3429;0.4381;0.1619;0.0646
переманить;NEUT;-0.315;0.18;0.36;0.38;0.08;0.2653
перематывать;NEUT;0.0;0.1538;0.6538;0.0385;0.1538;0.0481
перемахнуть;NEUT;0.1729;0.2353;0.5784;0.0882;0.098;0.1213
перемена;NEUT;0.0;0.16;0.8;0.0;0.04;0.0
переменка;PSTV;0.5976;0.49;0.37;0.01;0.13;0.0102
переменный;NEUT;0.0;0.08;0.76;0.04;0.12;0.06
переменчивость;NEUT;-0.1;0.04;0.72;0.24;0.0;0.0467
переменчивый;NEUT;-0.1;0.069;0.6207;0.2069;0.1034;0.092
перемереть;NEUT;-0.2885;0.14;0.36;0.29;0.21;0.2076
перемеривать;NEUT;0.0876;0.1845;0.5728;0.0971;0.1456;0.1482
перемерить;NEUT;0.0172;0.2;0.76;0.0;0.04;0.0
перемерять;NEUT;0.0;0.12;0.76;0.04;0.08;0.0533
переместить;NEUT;0.0;0.037;0.8148;0.037;0.1111;0.0741
переместиться;NEUT;0.1;0.2222;0.6667;0.0;0.1111;0.0
переметнуться;NGTV;-0.4685;0.08;0.45;0.41;0.06;0.0956
перемешать;NEUT;0.0;0.0769;0.8462;0.0;0.0769;0.0
перемешаться;NEUT;0.0;0.1386;0.6436;0.099;0.1188;0.1697
перемешивание;NEUT;0.0;0.1818;0.7576;0.0606;0.0;0.0808
перемешивать;NEUT;0.1216;0.2255;0.6373;0.0784;0.0588;0.1057
перемешиваться;NEUT;0.0;0.1224;0.6939;0.0612;0.1224;0.0918
перемещать;NEUT;0.2;0.2745;0.6275;0.0294;0.0686;0.0326
перемещаться;NEUT;0.0806;0.24;0.76;0.0;0.0;0.0
перемещение;NEUT;0.2373;0.2816;0.5825;0.0485;0.0874;0.0569
переминаться;NEUT;-0.2423;0.1068;0.4757;0.233;0.1845;0.1557
перемирие;PSTV;1.0;0.76;0.16;0.04;0.04;0.0421
перемножать;NEUT;0.1;0.2059;0.6176;0.0;0.1765;0.0
перемножить;NEUT;0.2815;0.31;0.57;0.06;0.06;0.0716
перемолоть;NEUT;0.0278;0.1624;0.5983;0.1368;0.1026;0.2519
перемотать;NEUT;0.0;0.1481;0.7037;0.037;0.1111;0.0463
перемудрить;NGTV;-0.9231;0.04;0.2;0.64;0.12;0.0425
перемывать;NEUT;-0.1373;0.1481;0.4444;0.213;0.1944;0.2512
перемыть;NEUT;0.1;0.2308;0.6923;0.0385;0.0385;0.0449
перемёрзнуть;NGTV;-1.0;0.08;0.12;0.72;0.08;0.0889
перенаправление;NEUT;0.0;0.0769;0.7308;0.0385;0.1538;0.0577
перенапрягать;NGTV;-0.9444;0.0862;0.1724;0.5862;0.1552;0.0989
перенапрягаться;NGTV;-0.8538;0.124;0.2314;0.6116;0.0331;0.1491
перенапряжение;NGTV;-1.0;0.0385;0.1154;0.8462;0.0;0.0402
перенапрячь;NGTV;-0.6667;0.1188;0.297;0.4752;0.1089;0.1485
перенапрячься;NGTV;-1.0;0.0882;0.1471;0.6765;0.0882;0.0997
перенаселение;NGTV;-0.9643;0.0;0.2;0.72;0.08;0.0
перенаселённость;NGTV;-0.9;0.0385;0.2308;0.6923;0.0385;0.0406
перенастройка;NEUT;0.2788;0.2673;0.495;0.0495;0.1881;0.0587
перенасыщение;NEUT;-0.3234;0.24;0.24;0.43;0.09;0.374
перенасыщенность;NGTV;-0.6239;0.1038;0.3113;0.4434;0.1415;0.1281
