term;tag;value;pstv;ngtv;neut;dunno;pstvNgtvDisagreementRatio
переоборудование;NEUT;0.35;0.311;0.067;0.471;0.151;0.0
переоборудовать;NEUT;0.49;0.407;0.068;0.423;0.102;0.0
переобуваться;NEUT;0.05;0.168;0.097;0.585;0.15;0.0
переобуться;NEUT;-0.14;0.111;0.206;0.556;0.127;0.0
переобучать;NEUT;0.3;0.305;0.057;0.533;0.105;0.0
переобучение;NEUT;0.5;0.389;0.103;0.389;0.119;0.01
переодевание;NEUT;0.0;0.161;0.018;0.714;0.107;0.0
переодевать;NEUT;0.05;0.214;0.024;0.738;0.024;0.0
переодеваться;NEUT;0.0;0.133;0.022;0.778;0.067;0.0
переодеть;NEUT;0.0;0.128;0.0;0.808;0.064;0.0
переодеться;NEUT;0.19;0.25;0.086;0.586;0.078;0.0
переопределение;NEUT;0.14;0.18;0.125;0.476;0.219;0.01
переорать;NGTV;-0.83;0.098;0.569;0.227;0.106;0.0
переориентация;NEUT;0.0;0.135;0.096;0.596;0.173;0.0
переориентировать;NEUT;0.0;0.038;0.0;0.77;0.192;0.0
переориентироваться;NEUT;0.09;0.192;0.071;0.596;0.141;0.0
переориентировка;NEUT;0.06;0.159;0.103;0.532;0.206;0.0
переосмысление;PSTV;0.6;0.513;0.027;0.38;0.08;0.0
переосмысливание;PSTV;0.55;0.475;0.04;0.416;0.069;0.0
переосмысливать;NEUT;0.5;0.443;0.046;0.442;0.069;0.0
переосмыслить;PSTV;0.56;0.483;0.017;0.405;0.095;0.0
переосмыслять;NEUT;0.35;0.353;0.069;0.539;0.039;0.0
переоснастить;NEUT;0.1;0.154;0.038;0.462;0.346;0.0
переоснащение;NEUT;0.38;0.314;0.176;0.363;0.147;0.17
переоформить;NEUT;0.03;0.175;0.07;0.65;0.105;0.0
переоформление;NEUT;0.0;0.154;0.066;0.725;0.055;0.0
переоформлять;NEUT;0.0;0.114;0.045;0.75;0.091;0.0
переохладить;NGTV;-0.83;0.024;0.643;0.262;0.071;0.0
переохладиться;NGTV;-0.97;0.089;0.644;0.178;0.089;0.0
переохлаждать;NGTV;-0.81;0.068;0.591;0.25;0.091;0.0
переохлаждаться;NGTV;-1.0;0.022;0.778;0.133;0.067;0.0
переохлаждение;NGTV;-0.98;0.08;0.68;0.18;0.06;0.0
переоценивание;NGTV;-0.62;0.155;0.474;0.302;0.069;0.07
переоценивать;NGTV;-0.77;0.092;0.563;0.269;0.076;0.0
переоценить;NGTV;-0.79;0.136;0.542;0.246;0.076;0.0
переоценка;NGTV;-0.36;0.234;0.306;0.334;0.126;0.32
перепад;NEUT;0.0;0.0;0.13;0.609;0.261;0.0
перепадать;NEUT;0.35;0.324;0.108;0.499;0.069;0.0
перепаивать;NGTV;-0.38;0.091;0.303;0.432;0.174;0.0
перепалка;NGTV;-1.0;0.0;0.718;0.077;0.205;0.0
перепархивать;NEUT;0.32;0.25;0.107;0.411;0.232;0.01
перепасть;NEUT;0.44;0.308;0.103;0.35;0.239;0.03
перепахать;NEUT;0.35;0.304;0.096;0.461;0.139;0.0
перепахивать;NEUT;0.29;0.252;0.121;0.449;0.178;0.02
перепачкать;NGTV;-1.0;0.064;0.745;0.127;0.064;0.0
перепачкаться;NGTV;-0.83;0.06;0.607;0.248;0.085;0.0
перепаять;NEUT;0.06;0.17;0.057;0.565;0.208;0.0
перепевать;NEUT;0.03;0.158;0.129;0.584;0.129;0.0
перепеленать;NEUT;0.43;0.363;0.02;0.45;0.167;0.0
перепелиный;NEUT;0.04;0.2;0.02;0.72;0.06;0.0
переперчить;NGTV;-1.0;0.086;0.741;0.156;0.017;0.0
перепеть;NEUT;0.38;0.336;0.075;0.468;0.121;0.0
перепечатать;NEUT;0.11;0.22;0.06;0.64;0.08;0.0
перепечатка;NEUT;0.0;0.148;0.037;0.63;0.185;0.0
перепечатывать;NEUT;0.0;0.098;0.118;0.745;0.039;0.0
перепиливание;NEUT;-0.05;0.09;0.16;0.55;0.2;0.0
перепиливать;NEUT;-0.1;0.132;0.158;0.473;0.237;0.04
перепилить;NEUT;-0.13;0.109;0.188;0.515;0.188;0.0
переписать;NEUT;0.17;0.228;0.123;0.561;0.088;0.0
переписка;NEUT;0.28;0.328;0.016;0.599;0.057;0.0
переписной;NEUT;0.0;0.115;0.038;0.655;0.192;0.0
переписчик;NEUT;0.0;0.071;0.036;0.643;0.25;0.0
переписывание;NEUT;0.16;0.22;0.147;0.56;0.073;0.01
переписывать;NEUT;-0.14;0.144;0.212;0.568;0.076;0.0
переписываться;NEUT;0.45;0.421;0.009;0.482;0.088;0.0
перепись;NEUT;0.04;0.175;0.05;0.625;0.15;0.0
перепить;NGTV;-0.95;0.109;0.605;0.177;0.109;0.0
перепиться;NGTV;-0.71;0.098;0.441;0.245;0.216;0.0
переплавить;NEUT;0.13;0.224;0.052;0.621;0.103;0.0
переплавиться;NEUT;0.0;0.139;0.056;0.749;0.056;0.0
переплавка;NEUT;0.0;0.122;0.061;0.674;0.143;0.0
переплавлять;NEUT;0.03;0.171;0.029;0.629;0.171;0.0
переплавляться;NEUT;0.17;0.214;0.036;0.536;0.214;0.0
перепланировать;NEUT;0.21;0.255;0.021;0.575;0.149;0.0
перепланировка;NEUT;0.14;0.22;0.04;0.6;0.14;0.0
переплата;NGTV;-0.69;0.149;0.488;0.256;0.107;0.05
переплатить;NGTV;-0.99;0.087;0.674;0.174;0.065;0.0
переплачивать;NGTV;-0.9;0.099;0.645;0.215;0.041;0.0
переплести;NEUT;0.0;0.143;0.082;0.632;0.143;0.0
переплестись;NEUT;0.0;0.133;0.0;0.689;0.178;0.0
переплетать;NEUT;0.01;0.18;0.06;0.7;0.06;0.0
переплетаться;NEUT;0.08;0.22;0.024;0.707;0.049;0.0
переплетение;NEUT;0.09;0.22;0.024;0.683;0.073;0.0
переплывать;NEUT;0.09;0.22;0.034;0.678;0.068;0.0
переплыть;NEUT;0.28;0.308;0.043;0.572;0.077;0.0
переплюнуть;NEUT;0.47;0.384;0.151;0.369;0.096;0.1
переплёт;NEUT;0.0;0.109;0.13;0.631;0.13;0.0
переплётный;NEUT;0.0;0.125;0.063;0.656;0.156;0.0
переплётчик;NEUT;0.2;0.25;0.036;0.571;0.143;0.0
переподготовка;NEUT;0.16;0.259;0.037;0.667;0.037;0.0
перепоить;NGTV;-0.93;0.064;0.617;0.191;0.128;0.0
переползание;NEUT;0.0;0.11;0.08;0.58;0.23;0.0
переползать;NEUT;0.04;0.18;0.04;0.64;0.14;0.0
переползти;NEUT;0.0;0.118;0.039;0.686;0.157;0.0
переполнение;NEUT;-0.34;0.164;0.3;0.429;0.107;0.11
переполненность;NEUT;-0.26;0.157;0.271;0.501;0.071;0.06
переполненный;NEUT;-0.19;0.183;0.231;0.521;0.065;0.11
переполнить;NEUT;0.21;0.227;0.199;0.453;0.121;0.19
переполниться;NEUT;0.21;0.232;0.225;0.458;0.085;0.24
переполнять;NEUT;0.17;0.237;0.129;0.584;0.05;0.0
переполняться;NEUT;0.22;0.243;0.154;0.515;0.088;0.05
переполох;NGTV;-0.81;0.081;0.566;0.243;0.11;0.0
переполошить;NGTV;-0.75;0.055;0.587;0.294;0.064;0.0
переполошиться;NGTV;-0.48;0.04;0.39;0.42;0.15;0.0
перепонка;NEUT;0.01;0.174;0.065;0.674;0.087;0.0
перепончатокрылый;NEUT;0.0;0.114;0.063;0.595;0.228;0.0
перепончатый;NEUT;0.0;0.074;0.037;0.667;0.222;0.0
перепортить;NGTV;-1.0;0.099;0.785;0.075;0.041;0.0
перепоручать;NEUT;-0.1;0.157;0.186;0.559;0.098;0.04
перепоручить;NEUT;0.04;0.157;0.127;0.559;0.157;0.0
перепорхнуть;NEUT;0.2;0.212;0.061;0.485;0.242;0.0
перепоясаться;NEUT;0.2;0.187;0.14;0.402;0.271;0.1
переправа;NEUT;0.31;0.299;0.051;0.513;0.137;0.0
переправить;NEUT;0.11;0.182;0.055;0.527;0.236;0.0
переправиться;NEUT;0.12;0.239;0.022;0.674;0.065;0.0
переправка;NEUT;0.0;0.074;0.0;0.889;0.037;0.0
переправлять;NEUT;0.16;0.235;0.043;0.592;0.13;0.0
переправляться;NEUT;0.06;0.188;0.063;0.624;0.125;0.0
переправочный;NEUT;0.08;0.162;0.054;0.514;0.27;0.0
перепрелый;NGTV;-0.71;0.056;0.429;0.237;0.278;0.0
перепробовать;NEUT;0.29;0.289;0.07;0.527;0.114;0.0
перепроверить;NEUT;0.47;0.388;0.112;0.414;0.086;0.01
перепроверка;NEUT;0.29;0.293;0.083;0.526;0.098;0.0
перепроверять;NEUT;0.44;0.395;0.07;0.465;0.07;0.0
перепрограммирование;NEUT;0.07;0.196;0.059;0.647;0.098;0.0
перепродавать;NEUT;0.21;0.238;0.139;0.534;0.089;0.01
перепродажа;NEUT;-0.08;0.15;0.18;0.565;0.105;0.02
перепродать;NEUT;-0.13;0.169;0.195;0.526;0.11;0.08
перепроизводство;NEUT;0.25;0.246;0.161;0.466;0.127;0.09
перепрофилирование;NEUT;0.28;0.307;0.02;0.564;0.109;0.0
перепрыгивание;NEUT;0.12;0.238;0.034;0.674;0.054;0.0
перепрыгивать;NEUT;0.15;0.229;0.034;0.593;0.144;0.0
перепрыгнуть;NEUT;0.12;0.22;0.06;0.62;0.1;0.0
перепрятать;NEUT;0.0;0.087;0.109;0.761;0.043;0.0
перепрятывать;NEUT;-0.15;0.142;0.208;0.542;0.108;0.01
перепуг;NGTV;-0.86;0.053;0.646;0.239;0.062;0.0
перепугать;NGTV;-1.0;0.049;0.756;0.097;0.098;0.0
перепугаться;NGTV;-0.9;0.047;0.628;0.209;0.116;0.0
перепутать;NGTV;-0.71;0.079;0.527;0.291;0.103;0.0
перепутаться;NGTV;-0.4;0.055;0.355;0.472;0.118;0.0
перепутывать;NGTV;-0.57;0.076;0.454;0.369;0.101;0.0
перепутываться;NGTV;-0.53;0.063;0.438;0.401;0.098;0.0
перепутье;NEUT;-0.07;0.11;0.165;0.544;0.181;0.0
перепёлка;NEUT;0.08;0.2;0.0;0.64;0.16;0.0
перерабатывать;NEUT;0.49;0.407;0.097;0.425;0.071;0.0
перерабатываться;NEUT;0.48;0.378;0.153;0.343;0.126;0.11
переработать;NEUT;0.33;0.322;0.237;0.416;0.025;0.25
переработка;PSTV;0.65;0.5;0.076;0.331;0.093;0.0
перераспределение;NEUT;0.09;0.172;0.069;0.535;0.224;0.0
перераспределить;NEUT;0.06;0.179;0.071;0.607;0.143;0.0
перераспределиться;NEUT;0.0;0.118;0.029;0.706;0.147;0.0
перераспределять;NEUT;0.12;0.203;0.093;0.577;0.127;0.0
перераспределяться;NEUT;0.0;0.133;0.033;0.634;0.2;0.0
перерастание;NEUT;-0.15;0.174;0.174;0.426;0.226;0.18
перерастать;NEUT;0.35;0.277;0.149;0.376;0.198;0.12
перерасти;NEUT;0.53;0.424;0.059;0.39;0.127;0.0
перерасход;NGTV;-0.86;0.031;0.594;0.219;0.156;0.0
перерасчёт;NEUT;0.04;0.17;0.11;0.6;0.12;0.0
перервать;NGTV;-0.55;0.038;0.427;0.367;0.168;0.0
перерегистрация;NEUT;0.05;0.148;0.0;0.519;0.333;0.0
перерезание;NGTV;-0.54;0.091;0.4;0.354;0.155;0.0
перерезать;NEUT;-0.17;0.021;0.255;0.639;0.085;0.0
перерешать;NEUT;0.2;0.226;0.087;0.513;0.174;0.0
перерисовать;NEUT;0.09;0.202;0.121;0.629;0.048;0.0
перерисовывать;NEUT;0.21;0.25;0.112;0.552;0.086;0.0
переродить;NEUT;0.13;0.192;0.058;0.538;0.212;0.0
переродиться;NEUT;0.5;0.379;0.06;0.38;0.181;0.0
перерождаться;NEUT;0.5;0.409;0.055;0.409;0.127;0.0
перерожденец;NEUT;0.23;0.19;0.1;0.4;0.31;0.0
перерождение;NEUT;0.4;0.37;0.03;0.5;0.1;0.0
переросток;NGTV;-0.51;0.109;0.386;0.366;0.139;0.02
перерубать;NEUT;-0.17;0.067;0.238;0.59;0.105;0.0
перерубить;NEUT;-0.26;0.12;0.256;0.504;0.12;0.0
переругать;NGTV;-1.0;0.064;0.66;0.106;0.17;0.0
переругаться;NGTV;-1.0;0.043;0.783;0.044;0.13;0.0
переругивание;NGTV;-1.0;0.067;0.667;0.099;0.167;0.0
переругиваться;NGTV;-0.96;0.05;0.625;0.175;0.15;0.0
перерывать;NGTV;-0.45;0.083;0.358;0.412;0.147;0.0
перерыть;NEUT;0.0;0.087;0.13;0.631;0.152;0.0
пересадить;NEUT;0.0;0.095;0.0;0.834;0.071;0.0
пересадка;NEUT;0.07;0.2;0.036;0.655;0.109;0.0
пересадочный;NEUT;0.0;0.154;0.058;0.711;0.077;0.0
пересажать;NEUT;-0.31;0.149;0.272;0.43;0.149;0.09
пересаживание;NEUT;0.13;0.232;0.054;0.643;0.071;0.0
пересаживать;NEUT;0.09;0.196;0.039;0.608;0.157;0.0
пересаживаться;NEUT;0.0;0.098;0.024;0.756;0.122;0.0
пересаливать;NGTV;-0.96;0.077;0.615;0.173;0.135;0.0
пересвист;NEUT;0.02;0.128;0.085;0.489;0.298;0.0
пересвистываться;NEUT;0.09;0.2;0.043;0.614;0.143;0.0
пересдавать;NGTV;-0.48;0.174;0.4;0.348;0.078;0.14
пересдать;NEUT;0.41;0.343;0.139;0.407;0.111;0.07
пересдача;NGTV;-0.68;0.104;0.5;0.299;0.097;0.0
пересекать;NEUT;0.0;0.106;0.043;0.787;0.064;0.0
пересекаться;NEUT;0.23;0.241;0.071;0.509;0.179;0.0
переселенец;NEUT;0.0;0.108;0.054;0.73;0.108;0.0
переселение;NEUT;0.0;0.104;0.063;0.77;0.063;0.0
переселенка;NEUT;0.19;0.162;0.135;0.352;0.351;0.14
переселенческий;NEUT;0.0;0.022;0.022;0.689;0.267;0.0
переселить;NEUT;0.01;0.158;0.149;0.614;0.079;0.0
переселиться;NEUT;0.14;0.238;0.095;0.643;0.024;0.0
переселять;NEUT;0.0;0.135;0.115;0.673;0.077;0.0
переселяться;NEUT;0.04;0.2;0.0;0.72;0.08;0.0
пересесть;NEUT;0.0;0.115;0.088;0.709;0.088;0.0
пересечение;NEUT;0.0;0.075;0.1;0.725;0.1;0.0
пересечь;NEUT;0.21;0.27;0.0;0.595;0.135;0.0
пересечься;NEUT;0.0;0.143;0.02;0.776;0.061;0.0
пересидеть;NEUT;-0.32;0.098;0.304;0.5;0.098;0.0
пересиливать;PSTV;0.7;0.5;0.11;0.288;0.102;0.0
пересилить;PSTV;0.67;0.446;0.116;0.273;0.165;0.01
пересказ;NEUT;0.19;0.254;0.063;0.596;0.087;0.0
пересказать;NEUT;0.13;0.22;0.055;0.615;0.11;0.0
пересказывание;NEUT;0.2;0.269;0.058;0.615;0.058;0.0
пересказывать;NEUT;0.0;0.167;0.042;0.708;0.083;0.0
перескакивание;NEUT;0.0;0.043;0.13;0.631;0.196;0.0
перескакивать;NEUT;0.0;0.152;0.087;0.696;0.065;0.0
перескок;NEUT;0.0;0.124;0.095;0.524;0.257;0.0
перескочить;NEUT;0.16;0.234;0.036;0.595;0.135;0.0
пересластить;NGTV;-0.79;0.155;0.536;0.218;0.091;0.04
переслать;NEUT;0.04;0.188;0.021;0.666;0.125;0.0
переслащивать;NGTV;-0.67;0.134;0.465;0.267;0.134;0.04
переслушать;NEUT;0.08;0.185;0.126;0.588;0.101;0.0
пересматривать;NEUT;0.1;0.233;0.0;0.697;0.07;0.0
пересмеиваться;NGTV;-0.4;0.19;0.345;0.37;0.095;0.18
пересменка;NEUT;0.24;0.197;0.094;0.401;0.308;0.0
пересмотр;NEUT;0.18;0.248;0.03;0.603;0.119;0.0
пересмотреть;NEUT;0.23;0.262;0.071;0.548;0.119;0.0
переснимать;NEUT;0.01;0.137;0.127;0.54;0.196;0.0
переснять;NEUT;0.0;0.086;0.057;0.8;0.057;0.0
пересоздание;NEUT;0.1;0.205;0.068;0.613;0.114;0.0
пересоздать;NEUT;0.31;0.299;0.037;0.514;0.15;0.0
пересолить;NGTV;-1.0;0.04;0.7;0.16;0.1;0.0
пересохнуть;NGTV;-0.78;0.068;0.579;0.27;0.083;0.0
переспелый;NGTV;-0.55;0.105;0.435;0.371;0.089;0.0
переспорить;NGTV;-0.36;0.217;0.296;0.33;0.157;0.29
переспрашивать;NEUT;0.0;0.167;0.074;0.722;0.037;0.0
переспросить;NEUT;0.18;0.255;0.043;0.617;0.085;0.0
перессорить;NGTV;-1.0;0.059;0.824;0.058;0.059;0.0
перессориться;NGTV;-1.0;0.024;0.857;0.071;0.048;0.0
переставать;NEUT;0.0;0.136;0.068;0.728;0.068;0.0
переставить;NEUT;0.09;0.204;0.041;0.633;0.122;0.0
переставлять;NEUT;0.1;0.238;0.024;0.714;0.024;0.0
перестановка;NEUT;0.23;0.275;0.058;0.575;0.092;0.0
перестараться;NGTV;-0.77;0.096;0.57;0.273;0.061;0.0
перестать;NEUT;0.0;0.039;0.176;0.746;0.039;0.0
перестелить;NEUT;0.2;0.252;0.071;0.583;0.094;0.0
перестилать;NEUT;0.09;0.195;0.069;0.598;0.138;0.0
перестирать;NEUT;0.21;0.233;0.19;0.474;0.103;0.15
перестоять;NGTV;-0.4;0.162;0.295;0.324;0.219;0.18
перестрадать;NGTV;-0.69;0.287;0.492;0.114;0.107;0.44
перестраивать;NEUT;0.22;0.264;0.064;0.568;0.104;0.0
перестраиваться;NEUT;0.05;0.2;0.044;0.689;0.067;0.0
перестрахование;PSTV;0.6;0.458;0.067;0.342;0.133;0.0
перестраховаться;PSTV;0.63;0.461;0.098;0.323;0.118;0.0
перестраховка;PSTV;0.63;0.5;0.042;0.35;0.108;0.0
перестраховщик;NEUT;0.35;0.258;0.177;0.315;0.25;0.24
перестраховываться;PSTV;0.6;0.491;0.053;0.368;0.088;0.0
перестреливаться;NGTV;-0.78;0.07;0.56;0.26;0.11;0.0
перестрелка;NGTV;-1.0;0.09;0.676;0.153;0.081;0.0
перестрелять;NGTV;-0.91;0.125;0.607;0.197;0.071;0.0
перестроение;NEUT;0.08;0.177;0.065;0.564;0.194;0.0
перестроить;NEUT;0.26;0.281;0.088;0.543;0.088;0.0
перестроиться;NEUT;0.14;0.219;0.07;0.597;0.114;0.0
перестройка;NEUT;0.27;0.265;0.088;0.5;0.147;0.0
перестукивание;NEUT;0.03;0.132;0.104;0.49;0.274;0.0
перестукивать;NEUT;0.0;0.087;0.106;0.595;0.212;0.0
перестукиваться;NEUT;0.14;0.2;0.091;0.545;0.164;0.0
переступать;NEUT;-0.08;0.136;0.182;0.582;0.1;0.0
переступить;NEUT;0.12;0.188;0.179;0.513;0.12;0.11
пересушивать;NGTV;-0.72;0.052;0.539;0.296;0.113;0.0
пересушить;NGTV;-0.82;0.086;0.543;0.224;0.147;0.0
пересчитать;NEUT;0.1;0.22;0.073;0.658;0.049;0.0
пересчитывание;NEUT;0.17;0.25;0.05;0.617;0.083;0.0
пересчитывать;NEUT;0.0;0.087;0.022;0.848;0.043;0.0
пересчёт;NEUT;0.08;0.184;0.114;0.588;0.114;0.0
пересылать;NEUT;0.0;0.147;0.088;0.706;0.059;0.0
пересылка;NEUT;0.09;0.186;0.102;0.576;0.136;0.0
пересылочный;NEUT;0.0;0.11;0.12;0.57;0.2;0.0
пересыпать;NEUT;-0.25;0.132;0.263;0.526;0.079;0.0
пересыпаться;NEUT;-0.04;0.069;0.172;0.621;0.138;0.0
пересыхание;NGTV;-0.76;0.042;0.559;0.272;0.127;0.0
пересыхать;NGTV;-0.71;0.046;0.523;0.293;0.138;0.0
перетаптываться;NEUT;-0.15;0.079;0.23;0.596;0.095;0.0
перетаскать;NEUT;0.0;0.132;0.093;0.612;0.163;0.0
перетаскивание;NEUT;0.03;0.17;0.019;0.622;0.189;0.0
перетаскивать;NEUT;0.01;0.163;0.041;0.633;0.163;0.0
перетасовать;NEUT;0.0;0.02;0.14;0.64;0.2;0.0
перетасовка;NEUT;0.0;0.1;0.057;0.743;0.1;0.0
перетасовывать;NEUT;0.0;0.094;0.142;0.591;0.173;0.0
перетащить;NEUT;0.0;0.098;0.049;0.829;0.024;0.0
перетекание;NEUT;0.05;0.156;0.067;0.533;0.244;0.0
перетекать;NEUT;0.0;0.143;0.024;0.762;0.071;0.0
перетереть;NEUT;-0.11;0.13;0.19;0.56;0.12;0.0
перетереться;NEUT;-0.31;0.127;0.273;0.455;0.145;0.03
перетерпеть;NGTV;-0.48;0.189;0.377;0.311;0.123;0.19
перетечь;NEUT;-0.05;0.038;0.192;0.655;0.115;0.0
перетирание;NEUT;-0.17;0.154;0.212;0.509;0.125;0.06
перетирать;NEUT;-0.17;0.077;0.231;0.577;0.115;0.0
перетираться;NGTV;-0.35;0.13;0.28;0.4;0.19;0.06
перетолкование;NEUT;0.23;0.246;0.082;0.516;0.156;0.0
перетолковать;NEUT;0.08;0.214;0.071;0.679;0.036;0.0
перетолковывать;NEUT;-0.17;0.2;0.2;0.45;0.15;0.21
перетопить;NGTV;-0.51;0.101;0.357;0.333;0.209;0.02
перетревожить;NGTV;-0.94;0.033;0.667;0.2;0.1;0.0
перетрудиться;NGTV;-0.88;0.119;0.593;0.212;0.076;0.0
перетруждать;NGTV;-1.0;0.087;0.667;0.145;0.101;0.0
перетрусить;NGTV;-0.64;0.129;0.457;0.293;0.121;0.03
перетряска;NGTV;-0.47;0.065;0.364;0.393;0.178;0.0
перетрясти;NEUT;-0.06;0.126;0.184;0.622;0.068;0.0
перетряхивание;NEUT;0.04;0.167;0.067;0.599;0.167;0.0
перетряхивать;NEUT;-0.21;0.11;0.202;0.449;0.239;0.0
перетряхнуть;NEUT;0.1;0.159;0.143;0.476;0.222;0.06
переть;NGTV;-0.51;0.051;0.355;0.348;0.246;0.0
переться;NGTV;-0.64;0.08;0.457;0.304;0.159;0.0
перетягивание;NEUT;0.1;0.181;0.147;0.534;0.138;0.03
перетягивать;NEUT;-0.12;0.119;0.193;0.555;0.133;0.0
перетяжка;NEUT;0.0;0.0;0.077;0.846;0.077;0.0
перетянуть;NEUT;-0.27;0.225;0.252;0.397;0.126;0.28
переубедить;NEUT;0.3;0.316;0.035;0.553;0.096;0.0
переубеждать;NEUT;-0.06;0.125;0.167;0.562;0.146;0.0
переулок;NEUT;0.0;0.16;0.02;0.66;0.16;0.0
переулочек;NEUT;0.03;0.159;0.091;0.591;0.159;0.0
переупрямить;NEUT;-0.31;0.129;0.267;0.436;0.168;0.04
переусердствовать;NGTV;-0.68;0.154;0.496;0.273;0.077;0.06
переустановка;NEUT;0.01;0.161;0.065;0.629;0.145;0.0
переустроить;NEUT;0.39;0.337;0.04;0.465;0.158;0.0
переустройство;NEUT;0.27;0.243;0.058;0.466;0.233;0.0
переутомить;NGTV;-0.96;0.08;0.56;0.16;0.2;0.0
переутомиться;NGTV;-0.85;0.07;0.614;0.237;0.079;0.0
переутомление;NGTV;-1.0;0.124;0.661;0.141;0.074;0.0
переутомлять;NGTV;-0.96;0.0;0.744;0.209;0.047;0.0
переутомляться;NGTV;-0.86;0.058;0.673;0.25;0.019;0.0
переучивание;NEUT;-0.29;0.188;0.259;0.401;0.152;0.19
переучивать;NEUT;-0.18;0.178;0.212;0.474;0.136;0.13
переучиваться;NEUT;0.39;0.336;0.155;0.414;0.095;0.1
переучить;NEUT;0.39;0.347;0.081;0.475;0.097;0.0
переучиться;PSTV;0.67;0.478;0.096;0.296;0.13;0.0
переучёт;NEUT;-0.05;0.036;0.143;0.5;0.321;0.0
переформирование;NEUT;0.0;0.141;0.056;0.564;0.239;0.0
переформировать;NEUT;0.24;0.248;0.059;0.515;0.178;0.0
переформировка;NEUT;0.29;0.24;0.058;0.433;0.269;0.0
переформулировка;NEUT;0.0;0.14;0.04;0.72;0.1;0.0
перефразирование;NEUT;0.08;0.198;0.033;0.626;0.143;0.0
перефразировать;NEUT;0.24;0.278;0.048;0.579;0.095;0.0
перефразировка;NEUT;0.12;0.231;0.0;0.654;0.115;0.0
перехваливание;NGTV;-0.98;0.159;0.635;0.166;0.04;0.0
перехваливать;NGTV;-0.85;0.171;0.537;0.17;0.122;0.08
перехвалить;NGTV;-0.9;0.188;0.573;0.145;0.094;0.1
перехват;NEUT;-0.21;0.14;0.219;0.474;0.167;0.05
перехватить;NEUT;0.03;0.162;0.123;0.592;0.123;0.0
перехватчик;NEUT;-0.24;0.188;0.228;0.406;0.178;0.2
перехватывать;NEUT;0.17;0.207;0.138;0.508;0.147;0.02
перехитрить;NGTV;-0.43;0.147;0.371;0.413;0.069;0.08
перехлестнуть;NEUT;-0.29;0.146;0.228;0.374;0.252;0.13
перехлёстывать;NEUT;0.0;0.04;0.12;0.56;0.28;0.0
переход;NEUT;0.19;0.25;0.008;0.586;0.156;0.0
переходить;NEUT;0.09;0.218;0.036;0.673;0.073;0.0
переходник;NEUT;0.14;0.22;0.047;0.591;0.142;0.0
переходность;NEUT;0.0;0.059;0.088;0.794;0.059;0.0
переходный;NEUT;0.0;0.14;0.093;0.604;0.163;0.0
перехоронить;NGTV;-0.4;0.094;0.313;0.413;0.18;0.0
перец;NEUT;0.24;0.25;0.133;0.509;0.108;0.01
перецеловать;PSTV;0.74;0.49;0.115;0.251;0.144;0.0
перецепить;NEUT;0.0;0.1;0.15;0.6;0.15;0.0
перечень;NEUT;0.01;0.157;0.059;0.608;0.176;0.0
перечеркнуть;NGTV;-0.66;0.106;0.469;0.301;0.124;0.0
перечесть;NEUT;0.23;0.244;0.067;0.521;0.168;0.0
перечисление;NEUT;0.0;0.105;0.053;0.631;0.211;0.0
перечислить;NEUT;0.1;0.216;0.039;0.647;0.098;0.0
перечислять;NEUT;0.04;0.193;0.07;0.684;0.053;0.0
перечисляться;NEUT;0.0;0.163;0.023;0.651;0.163;0.0
перечитать;NEUT;0.34;0.339;0.055;0.527;0.079;0.0
перечитывание;NEUT;0.38;0.376;0.026;0.53;0.068;0.0
перечитывать;NEUT;0.43;0.372;0.106;0.451;0.071;0.0
перечить;NGTV;-0.86;0.066;0.598;0.221;0.115;0.0
перечница;NEUT;0.06;0.167;0.067;0.566;0.2;0.0
перечный;NEUT;-0.09;0.07;0.175;0.544;0.211;0.0
перечувствовать;NEUT;-0.12;0.154;0.173;0.481;0.192;0.08
перечёркивать;NGTV;-0.58;0.081;0.444;0.354;0.121;0.0
перешагивать;NEUT;0.0;0.137;0.02;0.588;0.255;0.0
перешагнуть;NEUT;0.08;0.204;0.041;0.653;0.102;0.0
перешарить;NEUT;-0.1;0.13;0.16;0.47;0.24;0.03
перешвыривать;NGTV;-0.55;0.113;0.387;0.321;0.179;0.03
перешеек;NEUT;0.0;0.1;0.06;0.5;0.34;0.0
перешепнуться;NEUT;-0.08;0.12;0.188;0.598;0.094;0.0
перешерстить;NEUT;0.12;0.164;0.155;0.457;0.224;0.1
перешибать;NGTV;-0.69;0.08;0.43;0.25;0.24;0.0
перешибить;NGTV;-0.74;0.099;0.446;0.227;0.228;0.0
перешивать;NEUT;0.11;0.195;0.106;0.566;0.133;0.0
перешить;NEUT;0.31;0.257;0.159;0.398;0.186;0.13
перешнуровать;NEUT;0.0;0.114;0.023;0.749;0.114;0.0
перешучиваться;NEUT;0.4;0.317;0.149;0.366;0.168;0.12
перешёптывание;NEUT;-0.31;0.066;0.314;0.537;0.083;0.0
перешёптываться;NEUT;-0.01;0.075;0.175;0.675;0.075;0.0
перещеголять;NEUT;0.42;0.297;0.248;0.207;0.248;0.49
перещупать;NEUT;-0.17;0.144;0.202;0.491;0.163;0.05
перещёлкать;NEUT;0.31;0.252;0.097;0.428;0.223;0.0
переэкзаменовка;NGTV;-0.48;0.137;0.353;0.324;0.186;0.1
перила;NEUT;0.02;0.173;0.019;0.654;0.154;0.0
перилла;NEUT;0.03;0.182;0.045;0.659;0.114;0.0
